student_id,age,gender,academic_level,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,sleep_hours,screen_time_hours,exercise_minutes,caffeine_intake_mg,part_time_job,upcoming_deadline,internet_quality,mental_health_score,focus_index,burnout_level,productivity_score,exam_score
1,23,Female,Postgraduate,1.72,4.53,1.8,2.01,1.5,7.05,7.76,75,38,No,No,Average,53.15,11.8,23.19,10.51,45.1
2,17,Other,Undergraduate,6.03,4.33,0.21,0.08,4.06,7.55,8.07,61,95,Yes,Yes,Excellent,14.83,21.3,9.24,57.73,9.91
3,20,Male,High School,1.64,2.07,2.07,3.16,2.78,5.09,6.05,91,23,No,No,Poor,85.34,56.77,33.17,22.91,29.23
4,20,Male,Undergraduate,7.36,3.79,2.92,1.5,4.66,5.59,5.16,63,254,No,No,Good,53.32,64.19,97.22,5.41,76.84
5,19,Female,Undergraduate,4.23,3.3,2.73,4.46,1.73,8.94,6.54,95,55,No,No,Poor,92.45,44.86,23.54,38.76,74.16
6,25,Other,Postgraduate,6.29,5.9,4.99,0.03,1.59,8.89,6.96,97,179,Yes,Yes,Good,42.5,96.47,52.85,86.94,21.23
7,22,Male,Postgraduate,2.85,2.72,0.21,1.79,3.7,4.68,3.42,70,383,Yes,No,Good,19.6,40.44,28.79,25.66,14.91
8,19,Male,Undergraduate,7.78,3.56,4.82,1.8,3.12,7.53,6.15,28,357,Yes,No,Poor,75.36,38.89,34.99,80.34,60.55
9,17,Other,Postgraduate,1.29,4.87,3.26,3.73,0.23,6.37,4.43,55,321,No,No,Average,60.42,51.01,36.2,5.48,67.82
10,21,Other,Postgraduate,3.45,5.05,4.59,3.47,4.12,7.7,7.75,26,84,Yes,Yes,Average,49.37,33.27,47.87,5.74,93.21
11,19,Female,Undergraduate,2.29,0.71,4.63,5.81,0.12,8.32,7.07,69,25,Yes,Yes,Good,76.33,57.55,58.23,22.36,54.41
12,20,Female,Undergraduate,4.48,2.54,2.04,5.66,1.3,6.98,8.89,113,67,Yes,Yes,Good,63.77,94.65,89.47,45.8,2.83
13,19,Other,Undergraduate,2.49,3.61,0.9,4.23,2.16,6.33,8.06,55,94,No,Yes,Excellent,37.21,32.96,64.61,22.33,76.33
14,21,Other,Postgraduate,5.34,3.6,0.58,5.39,3.92,6.15,6.66,75,26,Yes,Yes,Good,86.91,34.34,35.58,10.91,61.64
15,17,Other,High School,7.0,3.19,1.72,4.54,2.67,5.38,3.29,32,115,No,No,Average,98.27,12.22,17.51,10.19,91.91
16,20,Male,Undergraduate,2.85,0.87,2.75,5.73,4.27,4.55,6.0,5,174,Yes,Yes,Excellent,60.69,8.97,74.08,70.15,61.78
17,20,Female,Undergraduate,5.64,1.69,2.48,5.97,1.54,6.37,9.68,55,262,Yes,Yes,Average,8.21,51.1,18.67,43.61,8.52
18,23,Female,Postgraduate,3.86,1.89,4.99,1.16,3.49,7.96,9.65,117,145,Yes,Yes,Excellent,93.29,29.23,46.2,95.08,0.15
19,22,Male,High School,4.81,2.45,1.91,1.0,4.36,4.19,8.97,78,28,No,No,Excellent,34.24,16.11,57.83,29.62,24.61
20,18,Male,Postgraduate,1.1,5.58,0.55,2.32,0.65,7.32,2.1,93,20,Yes,Yes,Average,9.93,57.98,19.81,53.55,46.63
21,24,Other,Undergraduate,3.41,1.16,0.09,1.27,0.73,7.48,2.22,24,44,Yes,Yes,Excellent,5.83,71.12,67.15,25.37,67.11
22,24,Female,High School,0.82,4.5,4.02,2.56,2.17,7.63,3.12,112,163,Yes,Yes,Average,45.48,11.73,73.41,15.08,55.82
23,21,Male,High School,5.08,1.11,3.03,0.08,3.08,6.85,6.59,112,2,Yes,Yes,Good,34.61,98.67,39.23,25.84,50.86
24,25,Female,Postgraduate,4.81,5.77,1.72,1.11,3.46,6.04,7.85,117,316,No,No,Excellent,1.18,80.95,66.88,99.03,95.68
25,19,Male,High School,3.86,4.52,4.56,0.29,3.98,4.1,5.13,16,210,Yes,Yes,Average,77.16,27.47,22.87,5.12,91.81
26,18,Other,Postgraduate,1.33,4.87,3.2,1.36,4.8,4.55,6.81,12,199,No,No,Average,40.1,86.69,60.55,70.28,11.93
27,23,Male,High School,4.31,5.57,1.06,3.65,1.69,8.97,2.89,56,157,Yes,Yes,Good,92.8,38.45,92.32,27.3,80.47
28,22,Other,Undergraduate,5.03,4.87,4.38,4.39,2.66,7.29,3.3,9,32,Yes,Yes,Average,15.13,37.69,73.46,96.07,75.76
29,21,Other,High School,5.79,3.42,1.26,1.98,1.58,6.91,4.95,21,239,No,No,Average,66.38,18.0,19.09,63.8,92.9
30,22,Other,Undergraduate,5.36,4.38,4.84,1.84,1.71,7.77,7.42,84,296,No,No,Average,72.63,58.44,97.92,84.07,61.96
31,20,Female,Postgraduate,5.97,4.96,4.34,3.42,2.56,8.27,4.36,99,177,No,No,Poor,49.63,76.5,83.13,53.99,26.36
32,18,Male,Postgraduate,7.18,3.55,4.39,1.25,0.32,4.67,3.63,46,218,Yes,No,Average,81.05,43.8,22.77,53.55,18.85
33,25,Female,Undergraduate,4.63,5.79,2.44,4.59,1.92,4.93,4.87,35,156,No,No,Excellent,6.21,51.92,40.43,1.66,57.19
34,20,Male,Postgraduate,7.33,3.96,0.65,2.94,3.66,8.79,8.56,21,18,No,No,Good,57.65,76.05,96.0,60.79,1.39
35,22,Female,Postgraduate,6.01,0.79,3.06,2.59,2.83,5.34,3.09,102,206,Yes,No,Average,84.56,73.84,83.29,40.87,64.85
36,18,Male,High School,6.51,1.04,3.85,4.1,3.06,4.37,8.4,15,395,No,Yes,Excellent,32.95,60.64,75.36,30.15,33.5
37,24,Female,High School,3.9,5.75,4.71,0.85,3.34,4.12,3.26,66,115,No,Yes,Excellent,6.42,93.63,96.81,63.12,95.52
38,23,Other,Postgraduate,7.84,2.0,1.0,0.07,4.39,7.89,5.28,5,86,No,No,Good,79.48,5.71,61.49,89.17,67.29
39,22,Male,Undergraduate,2.12,1.12,4.61,4.59,3.74,4.33,7.9,29,77,Yes,Yes,Excellent,74.04,51.32,68.2,27.08,38.04
40,24,Other,Postgraduate,2.13,4.81,2.51,2.3,0.88,8.45,8.27,34,281,Yes,No,Excellent,41.99,35.12,57.74,62.79,26.13
41,25,Male,Postgraduate,2.2,5.76,4.51,5.3,3.04,5.06,9.45,100,84,Yes,Yes,Average,18.85,65.83,3.86,93.83,50.93
42,23,Female,Postgraduate,2.83,5.05,1.12,3.27,2.16,8.75,7.04,13,67,No,No,Poor,99.55,74.74,32.15,87.47,38.43
43,25,Male,Postgraduate,0.73,1.28,1.95,4.69,4.51,4.11,2.96,34,172,Yes,No,Poor,97.59,34.31,21.61,27.71,9.49
44,24,Female,Undergraduate,7.3,5.86,1.83,5.51,2.26,7.48,4.03,55,243,Yes,No,Average,19.52,77.24,24.16,69.05,8.11
45,23,Female,Postgraduate,2.33,5.58,2.4,3.61,2.53,5.14,4.14,71,388,No,No,Excellent,80.22,92.45,86.76,44.51,25.94
46,17,Other,High School,5.83,0.64,1.17,0.63,4.96,7.28,7.01,45,77,No,Yes,Excellent,42.12,66.03,12.14,61.16,15.05
47,18,Male,Postgraduate,1.84,0.77,4.47,2.99,2.14,4.39,2.05,111,373,No,No,Good,77.12,1.71,33.45,36.26,74.84
48,17,Other,High School,3.9,4.33,2.54,4.46,1.18,7.04,9.96,60,305,Yes,Yes,Poor,71.62,11.95,24.46,83.43,9.35
49,21,Other,Postgraduate,0.85,3.8,3.8,5.26,4.08,7.21,9.98,34,99,No,Yes,Average,66.95,52.03,60.68,11.9,90.24
50,18,Male,Postgraduate,1.32,1.78,4.0,1.45,4.13,7.41,9.85,56,318,Yes,No,Average,1.49,2.76,21.39,59.89,61.8
51,18,Male,High School,3.24,3.18,2.91,4.33,3.35,6.17,7.46,62,126,No,Yes,Good,15.63,97.32,58.17,71.83,85.07
52,23,Other,Undergraduate,5.66,2.38,0.07,2.02,0.19,7.65,7.88,79,300,Yes,Yes,Excellent,23.78,44.99,73.59,87.73,41.89
53,24,Other,High School,3.39,4.89,3.39,0.43,1.0,5.29,6.57,14,361,Yes,No,Good,73.31,92.4,96.81,32.0,8.18
